Year,Month,Day,Longitude,Latitude,ProfileNumber,Dataset,DO_mean(umol/kg),DO_min(umol/kg),DO_max(umol/kg),Depth_min(m),Depth_max(m)
1980.0,3.0,4.0,141.0333,29.9,229853.0,WOD_OSD,232.48951416015626,228.30679321289062,235.71368408203125,0.0,200.0
1980.0,3.0,8.0,146.717,30.333,361936.0,Hydrobase3,164.3037037037037,43.5,232.6,0.0,5783.0
1980.0,3.0,10.0,141.0,28.5,230183.0,WOD_OSD,185.28142515818277,57.94810104370117,237.89219665527344,0.0,1811.0
1980.0,3.0,10.0,141.0,28.5,362012.0,Hydrobase3,202.87692307692308,64.8,237.9,0.0,1100.0
1980.0,3.0,10.0,141.0,29.0,230191.0,WOD_OSD,187.830269241333,60.99799728393555,240.94210815429688,0.0,1960.0
1980.0,3.0,10.0,141.0,29.0,362013.0,Hydrobase3,223.9090909090909,87.4,261.4,0.0,1000.0
1980.0,3.0,10.0,141.0,29.5,230202.0,WOD_OSD,191.1415885925293,67.0978012084961,239.63499450683594,0.0,1640.0
1980.0,3.0,10.0,141.0,29.5,362014.0,Hydrobase3,226.06363636363633,134.8,261.4,0.0,900.0
1980.0,3.0,10.0,141.0,30.0,362015.0,Hydrobase3,236.8090909090909,225.6,261.4,0.0,250.0
1980.0,3.0,10.0,141.0,30.5,230214.0,WOD_OSD,205.99895668029785,59.69089889526367,240.5063934326172,0.0,1385.0
1980.0,3.0,10.0,141.0,30.5,362016.0,Hydrobase3,234.15555555555557,217.8,240.0,0.0,150.0
1980.0,3.0,11.0,141.0,31.0,230221.0,WOD_OSD,188.87594757080078,49.234100341796875,239.1992950439453,0.0,1481.0
1980.0,3.0,11.0,141.0,31.0,362048.0,Hydrobase3,219.4818181818182,112.6,238.3,0.0,900.0
1980.0,3.0,11.0,141.0,31.5,230228.0,WOD_OSD,175.45638885498047,56.205299377441406,237.4564971923828,0.0,2162.0
1980.0,3.0,11.0,141.0,31.5,362049.0,Hydrobase3,202.96923076923076,64.8,236.5,0.0,2000.0
1980.0,3.0,11.0,141.0,32.0,230234.0,WOD_OSD,179.63910636901855,57.94810104370117,238.7635955810547,0.0,2024.0
1980.0,3.0,11.0,141.0,32.0,362050.0,Hydrobase3,206.73333333333335,63.5,237.4,10.0,2000.0
1980.0,3.0,11.0,141.0,32.5,230241.0,WOD_OSD,190.88016891479492,77.55459594726562,243.12059020996094,0.0,1614.0
1980.0,3.0,11.0,141.0,32.5,362051.0,Hydrobase3,223.4272727272727,97.8,242.7,0.0,900.0
1980.0,3.0,11.0,141.0,33.0,230243.0,WOD_OSD,176.89419822692872,57.076698303222656,234.40660095214844,0.0,1726.0
1980.0,3.0,11.0,141.0,33.0,362052.0,Hydrobase3,199.35454545454547,68.3,233.5,10.0,1000.0
1980.0,3.0,11.0,141.0,33.5,230251.0,WOD_OSD,175.3692481994629,57.076698303222656,230.92100524902344,0.0,2089.0
1980.0,3.0,11.0,141.0,33.5,362053.0,Hydrobase3,201.43846153846152,70.4,230.5,0.0,2000.0
1980.0,3.0,11.0,147.083,30.017,362054.0,Hydrobase3,161.16296296296295,37.8,233.0,0.0,4668.0
1980.0,3.0,12.0,141.0,34.0,230258.0,WOD_OSD,179.7988656361898,64.91929626464844,231.7924041748047,0.0,1577.0
1980.0,3.0,12.0,141.0,34.0,362099.0,Hydrobase3,204.72142857142856,70.4,231.8,0.0,1000.0
1980.0,3.0,12.0,141.0,34.5,230265.0,WOD_OSD,180.0409198337131,59.25519943237305,230.0496063232422,0.0,1614.0
1980.0,3.0,12.0,141.0,34.5,362100.0,Hydrobase3,226.3181818181818,217.8,230.1,0.0,250.0
1980.0,3.0,12.0,141.0,34.95,230273.0,WOD_OSD,179.5083984375,71.45479583740234,229.17820739746094,0.0,1540.0
1980.0,3.0,12.0,141.0,34.95,362101.0,Hydrobase3,204.84615384615384,113.0,229.2,0.0,1000.0
1980.0,3.0,12.0,141.38,34.5,362102.0,Hydrobase3,202.41666666666666,68.7,230.9,0.0,1000.0
1980.0,3.0,12.0,141.3833,34.5,230282.0,WOD_OSD,177.15561714172364,60.56229782104492,230.92100524902344,0.0,1671.0
1980.0,3.0,12.0,141.75,34.0,230293.0,WOD_OSD,191.27229843139648,80.60449981689453,235.2779998779297,0.0,1960.0
1980.0,3.0,12.0,141.75,34.0,362103.0,Hydrobase3,214.58333333333334,154.9,234.0,0.0,600.0
1980.0,3.0,12.0,142.1167,33.5,230301.0,WOD_OSD,174.54142074584962,55.333900451660156,230.0496063232422,0.0,1845.0
1980.0,3.0,12.0,142.12,33.5,362104.0,Hydrobase3,210.5909090909091,73.5,229.2,0.0,1000.0
1980.0,3.0,12.0,146.683,29.967,362105.0,Hydrobase3,165.0153846153846,42.6,234.8,0.0,5786.0
1980.0,3.0,13.0,142.5,29.5,230370.0,WOD_OSD,187.1331474304199,42.69860076904297,239.63499450683594,0.0,1296.0
1980.0,3.0,13.0,142.5,29.5,362154.0,Hydrobase3,234.64000000000001,217.8,261.4,0.0,200.0
